episode,total_reward
1,-294965.0
2,-271803.5
3,-228011.5
4,-282773.5
5,-233027.0
6,-282520.5
7,-218832.0
8,-362425.5
9,-191600.0
10,-216130.0
11,-222017.0
12,-242891.0
13,-259141.0
14,-227075.0
15,-263987.0
16,-273420.5
17,-568263.5
18,-276645.0
19,-531988.5
20,-209063.0
21,-245396.0
22,-211197.0
23,-185112.0
24,-207104.5
25,-202083.5
26,-523029.5
27,-269660.5
28,-275119.5
29,-220760.0
30,-341304.5
31,-210047.0
32,-207441.0
33,-203317.5
34,-197602.5
35,-193343.0
36,-197665.5
37,-302210.0
38,-230128.5
39,-277176.5
40,-206702.5
41,-255705.0
42,-383494.5
43,-401586.0
44,-219871.0
45,-233611.0
46,-483390.0
47,-285836.5
48,-181134.0
49,-236474.5
50,-206364.0
51,-242390.5
52,-229585.5
53,-196614.0
54,-230001.0
55,-227010.0
56,-245344.5
57,-316530.5
58,-229660.5
59,-218520.0
60,-170288.0
61,-200399.0
62,-336063.0
63,-265227.0
64,-235612.0
65,-289566.0
66,-255558.5
67,-477275.5
68,-742247.0
69,-190378.5
70,-282276.0
71,-206837.5
72,-300853.0
73,-192497.0
74,-215364.5
75,-233396.5
76,-203425.0
77,-235226.5
78,-217600.5
79,-343967.0
80,-192467.5
81,-282159.5
82,-181798.5
83,-236523.0
84,-250423.0
85,-234741.0
86,-246660.0
87,-166361.0
88,-247709.0
89,-275063.5
90,-350967.0
91,-248604.0
92,-206254.0
93,-217374.5
94,-287604.0
95,-178014.5
96,-311339.5
97,-250338.5
98,-239711.5
99,-245248.5
100,-221535.5
